name,product_id,price,brand,age,images,color,shoes sizes
Women's Nike Air Max Bolt Black/White Shoe,130609AAWE3," R 1,599.95",Nike,women,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/57537776.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/57537776_01.jpg']]",Black/White,"['4', '5', '6', '7', '8']"
Women's Le Coq Sportif Provencale II Low Beige/Gold Shoe,130609AAQL6, R 929.95,Le Coq Sportif,women,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/57336150.jpg'], []]",Beige,"['3', '4', '5', '6', '7']"
Women's Nike Court Royale 2 Black/White Shoe,130609AAUV4, R 729.95,Nike,women,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/57489870.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/57489870_01.jpg']]",Black/White,"['4', '5', '6', '7', '8']"
Women's Puma Shuffle Elderberry/Silver Shoe,130609ABBJ0, R 899.95,Puma,women,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/57635593.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/57635593_01.jpg']]",Pink/Silver,"['4', '5', '6', '7', '8']"
Women's Le Coq Sportif Quartz PU Black/Rose Gold Shoe,130609AAXU0," R 1,399.95",Le Coq Sportif,women,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/57568784.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/57568784_01.jpg']]",Black/Gold,"['3', '4', '5', '6', '7', '8']"
Women's adidas RetroRun Charcoal/Pink Shoe,130609ABBL5," R 1,199.95",Adidas,women,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/57636518.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/57636518_01.jpg']]",Charcoal,"['4', '5', '6', '7', '8']"
Women's Nike Court Legacy White/Silver Shoe,130609ABAL9," R 1,199.95",Nike,women,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/57613946.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/57613946_01.jpg']]",White/Silver,"['4', '5', '6', '7', '8', '9']"
Women's New Balance 373 Grey/Beige Shoe,130609ABIV9," R 1,199.95",New Balance,women,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/59168300.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/59168300_01.jpg']]",Grey,"['4', '5', '6', '7', '8', '9']"
Women's Nike Court Legacy White/Black Shoe,130609AAXH8," R 1,199.95",Nike,women,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/57555128.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/57555128_01.jpg']]",White/Black,"['4', '5', '6', '7', '8']"
Women's Nike Court Vision White Shoe,130609AAJU9," R 1,199.95",Nike,women,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/57168593.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/57168593_01.jpg']]",White,"['4', '5', '6', '7', '8']"
Women's New Balance 720 Charcoal/White Shoe,130609ABIV7," R 1,199.95",New Balance,women,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/59168302.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/59168302_01.jpg']]",Charcoal,"['4', '5', '6', '7', '8', '9']"
Women's adidas Hoops 2.0 White Shoe,130609ABGS7," R 1,099.95",Adidas,women,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/59051569.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/59051569_01.jpg']]",White,"['4', '5', '6', '7', '8', '9']"
Women's Puma Vikky v2 Sage/White Shoe,130609ABES4, R 669.95,Puma,women,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/58952261.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/58952261_01.jpg']]",Sage,"['4', '5', '6', '7', '8']"
Women's Puma Skye Clean Platform Beige/Pink Shoe,130609ABBJ4, R 999.95,Puma,women,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/57635731.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/57635731_01.jpg']]",Beige,"['4', '5', '6', '7', '8']"
Women's Nike Wearallday Beige/Cork Shoe,130609ABAL6," R 1,199.95",Nike,women,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/57613875.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/57613875_01.jpg']]",Beige,"['4', '5', '6', '7', '8']"
Women's Puma Skye White/Pink Shoe,130609ABGO1," R 1,199.95",Puma,women,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/59040702.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/59040702_01.jpg']]",White/Pink,"['4', '5', '6', '7', '8', '9']"
Women's Puma Skye Dot CV Grey/White Shoe,130609ABFC1," R 1,199.95",Puma,women,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/58973288.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/58973288_01.jpg']]",Grey/White,"['3', '4', '5', '6', '7', '8']"
Women's adidas CourtPoint base White/Leopard Shoe,130609ABBL4, R 899.95,Adidas,women,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/57636517.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/57636517_01.jpg']]",White,"['4', '5', '6', '7', '8']"
Women's adidas Breaknet Plus White/Champagne Shoe,130609ABBL6," R 1,199.95",Adidas,women,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/57636516.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/57636516_01.jpg']]",White/Gold,"['4', '5', '6', '7', '8']"
Women's Superga Classics Canvas Light Yellow Shoe,130609ABFD7, R 639.95,Superga,women,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/58976663.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/58976663_01.jpg']]",Yellow,"['3', '4', '5', '6', '7', '8']"
Women's Le Coq Sportif Provencale II Low Black/Rose Gold Shoe,130609ABBM1," R 1,349.95",Le Coq Sportif,women,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/57636774.jpg'], []]",Black/Gold,"['3', '4', '5', '6', '7']"
Women's Puma Shuffle White/Pink/Gold Shoe,130609ABBJ2, R 899.95,Puma,women,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/57635606.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/57635606_01.jpg']]",White/Pink,"['4', '5', '6', '7', '8']"
Women's Nike Air Max SC White/Pink Shoe,130609ABAL8," R 1,099.95",Nike,women,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/57613874.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/57613874_01.jpg']]",White/Pink,"['4', '5', '6', '7', '8']"
Women's Superga Classics Canvas White Shoe,130609AAJB8, R 799.95,Superga,women,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/57156947.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/57156947_01.jpg']]",White,"['3', '4', '5', '5-', '6', '7', '8']"
Women's Superga Classics Canvas Grey/White Shoe,130609AADG2, R 799.95,Superga,women,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/56630405.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/56630405_01.jpg']]",Grey/White,"['3', '4', '5', '5-', '6', '7', '8']"
Women's Nike Air Max SC Black/White Shoe,130609ABAL4," R 1,399.95",Nike,women,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/57613871.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/57613871_01.jpg']]",Black/White,"['4', '5', '6', '7', '8']"
Women's Vans Doheny Black Shoe,130609AAON6, R 749.95,Vans,women,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/57285755.jpg'], []]",Black,"['4', '5', '6', '7', '8']"
Women's Superga Classics Canvas Navy/White Shoe,130609AAZR1, R 799.95,Superga,women,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/57605409.jpg'], []]",Navy/White,"['3', '4', '5', '5.5', '6', '7', '8']"
Women's Puma Up Grey/Silver Shoe,130609ABBI9, R 899.95,Puma,women,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/57635585.jpg'], []]",Grey/Silver,"['4', '5', '6', '7', '8']"
Women's Le Coq Sportif Provencale II Low Pink Mono Shoe,130609AAUX2," R 1,349.95",Le Coq Sportif,women,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/57491160.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/57491160_01.jpg']]",Pink,"['4', '5', '6', '7']"
Women's Superga Classics Canvas Black Shoe,130609AAFS0, R 799.95,Superga,women,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/57089358.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/57089358_01.jpg']]",Black,"['3', '4', '5', '5-', '6', '7', '8']"
Women's Le Coq Sportif Provencale II Lo Pink/White Shoe,130609ABBM0," R 1,349.95",Le Coq Sportif,women,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/57636773.jpg'], []]",Pink/White,"['3', '4', '5', '6', '7']"
Women's Puma Smash v2 Black/White Shoe,130609ABGO0, R 899.95,Puma,women,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/59040704.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/59040704_01.jpg']]",Black/White,"['4', '5', '6', '7', '8']"
Women's Nike Court Vision Mid White Shoe,130609AAJU3," R 1,299.95",Nike,women,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/57168589.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/57168589_01.jpg']]",White,"['4', '5', '6', '7', '8']"
Women's Puma Smash v2 Buck Black/Pink Shoe,130609AAHJ6, R 899.95,Puma,women,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/57130686.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/57130686_01.jpg']]",Black/Pink,"['4', '5', '6', '7', '8']"
